,score_indexed,new_text,,
10,0.0,Well the cover was dented in when I recieved it wasn t very impressed since I was looking forward to recieving this dvd dvd works fine though so besides the massive dent in the cover its good It was cheap so I guess it boils down to you pay for what you get ,,
11,1.0,they couldve gotten a better actor then Sean Patrick Flannery he ruins the movie leaving a bad taste hes so annoying his character is dislikable Gellar is beautiful and ravishing she s purdy hot id love to eat her food if you know what I mean high 5,,
12,0.0,For the first four fifths of this movie it was one of the creepiest scariest films I ve ever seen A souffle of understated horror acted to perfection by Bob Hoskins and Elaine Cassidy But then plop the souffle falls in The screenwriter simply could not think of a way to end the film He set it up for the first four fifths and then cliches upon cliches Doesn t any director read the entire script before starting the filming Or do they just read up to 80 and then want to be surprised by whatever ending the actors come up with Why do I give this film as many as three stars Because it was so well done for a while Not even a drop of blood No corpses No maiming It delivers the horror by the sheer cinematography and understatement Bottom line strictly for moviegoers who want to see good horror film making technique but stay away if you don t like to be disappointed by the plot ,,
13,0.0,The original documentary of the General theft 1862 br Like the Keystone Cops and other films of the era play at 1 2 speed for natural movements 3 hours ,,
14,2845,positive,0.0,A globetrotting Fed Ex employee named Chuck Tom Hanks after kissing his sweetheart Kelly Helen Hunt goodbye at the airport hops onto a Fed Ex plane that eventually runs into major trouble during a fierce storm and plummets into the sea The plane s crew all perish but Chuck is miraculously washed ashore on a deserted island where he must fend for himself using only the island s elements at his disposal as well as some Fed Ex packages that wash ashore from the plane wreckage p Remember the great sci fi cult classic from the early 60 s quot Robinson Crusoe On Mars quot about a U S astronaut stranded all alone on the red planet quot Cast Away quot seems to borrow somewhat from this film with a few changes Instead of futuristic gadgets to work with our hero has Fed Ex packages Instead of an adorable wooly monkey amp an alien slave for company our stranded protagonist has a volleyball that he draws a face on names it Wilson get it and talks to it Personally I ll give quot Cast Away quot credit where credit is due despite being a disjointed film it is Tom Hanks terrific performance as Chuck that makes quot Cast Away quot the absorbing film that it is p For the big middle section of quot Cast Away quot the movie is basically The Tom Hanks Show he s all that we see for the large second act of the film which spans four years There s lots of quiet time in this part of the film too Hanks doesn t speak very much at least not at first as he struggles to survive on the island And yet as he goes from being washed ashore to scouting out the island to collecting the packages that wash up on the beach to figuring out how to make fire and get food to talking to his volleyball chum Wilson etc Hanks remains very compelling in the role of Chuck throughout With any other actor in the role this film could ve been a major snoozefest But with Hanks at it s center you remain absorbed in his adventure and needless to say Hanks has got another well deserved Oscar nomination headed his way with this one And kudos to director Robert Zemeckis for his skillful direction of his star as well as his incredible photography p If quot Cast Away quot has any faults it s that the film is a bit disjointed in it s storytelling and the final portion of the film goes on a little too long Unfortunately I can t go into any of this without heading into spoiler territory But in the end what it all comes down to is this your enjoyment of quot Cast Away quot primarily depends on whether or not you care about Tom Hanks Fed Ex man and what happens to him Me I DID care about this guy and what happens to him Therefore despite being imperfect quot Cast Away quot still gets a solid recommendation from me It s Tom s show all the way and it s a good one 
15,1.0,During the 90 s the creators of the action genre sat in a boardroom and kicked some ideas around on how to spice up the film industry With films the Death Ring dominating the market something new had to be done Through months of deliberation they finally agreed upon the ultimate concept of joining man and beast together to take on a deadly crime syndicate The first shot was Turner in Hooch with Tom Hanks followed by a slightly more entertaining James Belushi attempt called K 9 At this time Chuck Norris was at home trimming him mustache with a pair of hedge clippers when he thought I could beat the tar out of Hanks and Belushi with both hands tied behind my mullet so where s my cop dog movies He then roundhouse kicked his way into a star role in Top Dog which he d so sorely regret about a week into shooting br br Top Dog starts off with some hilariously bad acted white white supremacist as they plan to blow up San Diego Why are they doing this We haven t the slightest idea Maybe it s because they didn t legalize the good stuff in that region yet and the Nazi s couldn t take it anymore Whatever the case may be super rouge cop Jake Wilder get s called upon for the case and is teamed up with a dog who may have been responsible for writing the script as far as we re concerned The dialogue and one liner dog jokes are something we d hope to never experience again and thank the movie world for not producing a sequel It s just awful and this is coming from a couple of the biggest Chuck enthusiasts out there The only thing that would have saved the movie is if Norris and the dog had an action packed battle to the death similar to the end brawl in Missing in Action II Obviously we did not get this one and in no way can recommend it to even the b lovers out there ,,
16,0.0,After a 6 year hiatus the James Bond franchise was brought back to life by dirctor Martin Campbell The Mask of Zorro With Pierce Brosnan as the new Bond the series was given a new harder edge with great action stunts and cool cars Sean Bean is great as Alex Trevalyn a former agent 006 turned enemy and Famke Janssen is the movie s female villianess Judi Dench is brought in as the new M along with Samantha Bond as Moneypenny p Brosnan is superb as the charming vodka martini drinking Bond with witty lines and he takes the character away from the coldness of Timothy Dalton The action ante is upped considerably from the lacklustre Licence to Kill 1989 with some great set pieces including tanks trains and of course big bangs It is a Bond film after all and the action is riddled with witty one liners Add a stomping title track from Tina Turner sharp editing courtesy of Terry Rawlings and Desmond Llewelyn as Q who has starred in every Bond film except Dr NO 1962 and Live and Let Die 1973 Arguably the best bond film it is most certainly the biggest ,,
17,0.0,I had forgotten how much I enjoyed quot Speed quot until I saw it again in its newest DVD transfer Forget about the plausibility of the plot since if that were the standard to judge action adventure movies how many would qualify Instead enjoy the non stop excitement with quot Armaggedon quot type pacing where each solution is followed by another problem p The movie is basically all action all the time and that s what those of us who love this genre want If you re looking for profound dialogue or character development you won t find it but you will find lots of humor thrown in to lighten things up p Keanu Reeves gives a glimpse of the sort of intensity that he would bring to the quot Matrix quot and Bullock is about as believable as anyone could be behind the wheel of the bus The two of them establish a good chemistry and this definitely lifts the film above the run of the mill p Dennis Hopper is his usual maniacal self as the crazed villain and Jeff Daniels does a credible job as Reeves partner the two of them had some great lines at the beginning of the film p The DVD transfer is excellent the video is clear and well balanced with minimal digital artifacts and the audio will give your surround system a real workout I haven t looked at the second disc yet but it s loaded with extras p Bottom line for a classic adventure flick with an outstanding new remastering this Five Star version of quot Speed quot can t be beat ,,
18,0.0,I received this new remastered DVD in a matter of days after ordering The product is excellent and the story Father Goose is humorous family entertainment ,,
19,0.0,the dvd is excellent the making of is surprising in this dvd you can see many deleted scenes photographs but the most interesting things of the special features is the shark facts br br I recommend this dvd to everyone who love this kind of movies ,,
20,0.0,Recently I was able to catch Spielberg s The Lost World I say Spielberg because other than the title it bears no resemblance to the book This is not necessarily a bad thing While a lousy interpretation of the book it is still a good film p Jeff Goldblum is hired by a man who is dead in the book to study the ecosystems on InGen s Site B where dinosaurs have been flourishing Only the fact that his girlfriend is in danger gets Goldblum to go No sooner does he arrive and try and convince her to leave than a massive InGen expedition shows up to hunt and capture dinosaurs p InGen s plans for capturing dinosaurs goes awry when Goldblum and friends release the dinosaurs during a satellite linked board meeting InGen plans to open a dinosaur park facility at the San Diego zoo During the chaos every radio in the camp manages to get trampled The survivors must now find a way off of the island Unfortunately most of them are killed in a brief attack by velociraptors while in tall grass p The few survivors of the second expedition manage to capture a T Rex and ready it for shipping to the states Goldblum and friends escape by helicopter p In San Diego the T Rex manages to escape and go rampaging through the city Goldblum must lure the T Rex back onto the freighter that brought it to the States In the end a huge navy escort follows the freighter back to the island while Mr Hammond implores to public to leave the dinosaurs alone they deserve it p Some people definitely had fun making this movie There were scenes from classic and not so classic movies including King Kong Godzilla Carnosaur 3 CARNOSAUR was the book Crichton got the idea for JURASSIC PARK from and others Two scenes I particularly enjoyed were a crowd of screaming Japanese looking over their shoulders while running in terror and a little boy who wakes his parents to tell them that there is a dinosaur in the back yard p It was reported that a paleontologist made sure that the dinosaurs acted as current scientific beliefs say they should Hah The Stegosaurs were the size of apatosaurs Something possibly the escaped triceratops managed to knock a hummer airborne so that ir reached an altitude of at least a hundred feet and an amazing distance Velociraptors can now leap three stories up and forty yards out The tyrannosaur can run right through building walls without slowing down Fun Yes Realistic No way Needless to say if the dinosaurs acted this way in the first movie then no one would have escaped p Still it was a very fun film that I recommend to any dinosaur lover who can stand to see people pulled apart by huge carnivores sharing a tidbit The Lost World the third film by that name should be available on video and day now ,,
21,0.0,this dvd arrived here really fast and very well packed br thank you br br from br danielle moore,,
22,0.0,The Day the Earth Caught Fire 1962 has impressive credentials given that it was co written and directed by Val Guest the man who brought to the screen such classic films as The Quatermass Xperiment 1955 and The Abominable Snowman 1957 p Peter Stenning Edward Judd is a down on his luck newspaper man struggling with the difficulties of his recent divorce maintaining a relationship with his young son and taking up the drink a bit more often than he probably should all having a negative effect on his once upwardly mobile career and his life in general To top things off London begins suffering a heat wave like it s rarely seen before Not only that but it seems all around the world strange phenomena has been occurring from flooding earthquakes drought freak snowstorms typhoons etc All coming on the heels of news that within the past week the Soviets and the Americans both detonated atomic devices larger than had ever been seen before p Leo McKern plays Bill Maguire an associate and close friend at the newspaper where Peter works and begins to develop a theory about what s going on but is not able to confirm anything as the government has kept a tight lid on what it knows handing out canned responses to an ever questioning press and public Peter while trying to squeeze some information out of a government office meets Jeannie Craig Janet Munro a worker within the office who sometimes operates the switchboard receiving calls Peter starts putting the moves on her but she isn t very responsive at first p Soon the temperature starts rising lakes and rivers start drying up and government enforced water rationing measures are put into effect Facts about the current condition are sketchy as the government is still not very forthcoming but Jeannie overhears some startling information she is hesitant to share but is unable to keep it to herself She shares it with Peter after making him promise that it would only be between them to which quickly releases the information to his newspaper One may think Peter quite the cad but given the enormity of the information he really had no choice Jeannie finds herself in hot water as she is discovered as the leak and Peter finds himself on the outs with Jeannie for the betrayal What was this startling information What is the government hiding What s causing the all the natural catastrophes It s not too difficult to figure out but the film does offer a few surprises you may not see coming p Despite the low budget director Guest does an amazing job creating a world on the verge of an apocalyptic nightmare The focus on the newspaper and its staff working feverishly to uncover facts and report accurately while the world is falling apart around their ears gave a unique view into the genre The main characters in the film were nicely developed but not always likeable adding a realistic sense Also the documentarian style used in many of the scenes served nicely to give the viewer more of a sense of dread as if this was something that could really happen or was really happening Shot primarily in black and white there are a number of scenes at the beginning and the end in color but use an orangish gel to create a creepy and oppressive effect The effects are decent but are used in a complementary effect taking a back seat to the substantial intelligent sparkling and well thought out plot p The wide screen print provided by Anchor Bay Entertainment looks beautiful and the audio is quite good The listing of features on this site claims a full screen format is available here too but I didn t see it Special features include a commentary by director Val Guest and journalist Ted Newsom TV spots a theatrical trailer radio spots a still gallery with a couple of pretty racy photos of Janet Munro and a biography of director Val Guest If you re looking for big bang effects to cover an inconsequential plot like the more recent films Independence Day 1996 or The Core 2003 then you ll be disappointed here If you re looking for an effective thought provoking science fiction thriller with lots of meat and little filler then this is a great choice p Cookieman108,,
23,0.0,Kubrick s Spartacus is one of many epic movies of its time With the grandiose settings Kubrick recreates the vastness of Rome However that is only one significance of this movie because it is really about Kirk Douglas s character Spartacus Spartacus is a slave among many slaves Enslaved around the young age of 13 this life in chains is about all he knows That is until at a gladiatorial training camp Spartacus becomes the unlikely hero and starts a slave revolt at the camp It is Spartacus s cool head and clear thinking that makes him the leader of the slaves yet he is a humble sort just like Mel Gibson in Braveheart just trying to be free br br Epic movies were made around this type of character such as Braveheart Dr Zhivago and Lawrence of Arabia Therefore it is only natural that this story be told because it is different than Ben Hur The movie goes along like almost any epic a spattering of action with peaceful interludes of thinking and conversation This movie is not more spectacular than all the other movies of its type In fact it is rather plain as it allows you to fall into the character s minds and hearts but does not force you This movie is only so gripping like that song you play for dinner party atmosphere but nothing else One thing is for sure though Kubrick did a good job at making the movie at all especially at such a young age However I feel that the best rating out of five whole stars which I can deem it is a three star rating ,,
24,0.0,There are plenty of reviews regarding the movie but not much has been said about the THX Optimizer The Optimizer seems to have been beefed up from previous Pixar DVD releases It s not as exhaustive as something like Digital Video Essentials but it provides many of the same tests and is easier to use and understand If you re looking for a simple video optimizer buy this DVD and get a great movie too ,,
25,0.0,It took me much to long to see A Clockwork Orange but when I finally did I understood what all of the rave reviews were about Nothing quite like this movie has been done since and there are so many things to watch on screen that it takes a few viewings to really see it all The look and feel of this movie is unlike any other The use of music in this film is something you would not think offhand to fit a movie such as this but it really works This is a film that still does not feel dated even up to this day Interesting strange fantastic and imaginative ,,
26,0.0,This was truly a wonderful film The storyline was everything you could want in one Fantasy in its most stunning form was presented here There were some unneeded parts like the quot bedroom quot scenes but other than that this film was amazing ,,
27,0.0,Let me apologize first by stating that I am one of those people that wants there to be resolution at the end of a movie I want to know what the hell is going on and why There is one exception to that and that would be Blair Witch Project Unfortunately this movie does not supply me with any useful information about what and why everything is happening I also want a movie to deliver when it claims to have the scariest opening sequence and the gutsiest ending This movie does not deliver on either one of those claims If simply leaving the movie unfinished and open at the end is gutsy then I say NO to gutsy endings And if a movie does not have an opening sequence scarier than Scream or doesnt even come close then dont make the claim that it is the scariest On the other hand this movie had so much promise it did have me scared it did have me nervous and on the edge of my seat That is until the ending came I was so furious and angry that it made me hate the movie Also there was really nothing that frightening about the monster If they wanted to leave something to the imagination they should have let us imagine him My own image would have been far more frightening than him it or whatever it is And what the hell is it anyway Not knowing what it is or what and why it is doing evil things does not scare me it only aggravates me and ticks me off Loose ends just dont work and only make it seem that the person directing or producing is just sequel hungry Ugh Well that s what I think and feel about this movie that had such promise and no delivery of the goods that we so desperately seek in horror scary movies But I guess once one has seen Scream all others pale in comparison Scream is a hard act to follow and I am sure everyone knows this br Thanks for taking the time to read my ranting and raving ,,
28,0.0,I rented this movie about 18 months ago not knowing what to expect I d heard of KIDS but just assumed this movie would be a tepid effort How wrong i was It s not often that movies hit me in the gut and leave me stunned but i can t explain this film any other way than to say it is sheer genius Larry Clark has the style of a true master film maker The performances from this young cast are simply brilliant He is a director who lets the camera focus on the eyes of the actors so you feel what they feel His camera lingers imperceptibly for a fraction of a second longer than is comfortable His visual style is unique his choice of music inspired and most of all the acting is just out of this world I ve seen some of these actors since in movies that are quite average so it leads me to believe it really is the director who elicits the performances from them Larry Clark is a master film maker albeit a pervert however I recall Roger Ebert saying if a 25 year old made this film it would be considered cutting edge and a brilliant look into the world of troubled adolescents or words to that effect Larry Clark is what i want to become A 50 year old who is still cool enough to know what kids get up to he likes to explore the dirty side of life and show the things that we all do in private but not many of us want to admit to he truly is a visionary His films may not be for everyone but they certainly do not insult your intelligence THE BEST FILM I HAVE SEEN IN THE LAST 5 YEARS ,,
29,0.0,I haven t seen many silent films but this must be the one of the greatest fantasy films of this period I read it was made at an astonishing cost for 1924 year of its release U 2 5 millions It must have been filmdom s most expensive feature before the 1926 Ben Hur br br Douglas Fairbanks is in excellent shape form for the athletic part he has to play at his acrobatic best considering he was 40 years old when it was made and embodies the hero the thief of the title perfectly who is redeemed by the power of love in the shape of a languid princess played by Julanne Johnston The sets are just awesome gorgeous designed by the legendary William Cameron Menzies plus deft direction by Raoul Walsh br br Great acting by Anna May Wong as one of the princess ladies in waiting and SoJin The Mongol Prince who are perfect as the villains of the story br br The Kino DVD Release brings a digital stereo orchestral new score adapted from the original 1924 cue sheets a great asset plus a set of never before seen outtakes and special effects footage excerpts of Paul Leni s Waxworks and George M eacute li egrave s 1905 Arabian Nights oh and a filmed introduction by Orson Welles himself br br Highly recommended for silent movie buffs and movie buffs in general the story line the plot is very different indeed from Zoltan Korda s classic 1940 same title masterpiece This movie stands its own ground besides that other version I have both and love them br br Beware of other inferior editions ,,
30,0.0,This is definitely the best DVD purchased so far Contains extra features including John Williams Live score track Making of Featurette Reunion Featurette and much more Just as a footnote both versions Theatrical and 2002 version contain Dolby Digital and DTS 5 1 even though the back of the container states Dolby Surround for Disc 2 It is also included with the theatrical version as well as Dolby Digital and DTS 5 1 sound p This is one of my favorite films of all time and always makes me cry during the last 30 minutes It is for all members of the family young and old and is multi cultural I plan on keeping this DVD for as long as it will last ,,
31,1.0,Words cannot express how disappointed I am by the quality of this tape Expecting the wonderful movie that so many know and love I purchased this video only to discover on the back of the video sleeve that this is an edited version of the original That s fine but what these people did is unacceptable They deleted all the original music including background music plus they deleted voices and background sounds and replaced them I could not even recognize John Wayne s drawl I don t think it s even his voice and Maureen O Hara s brogue has been replaced with the voice of someone else On top of that the timing is way off I ended up turning the sound off and watching the movie in silence Still a wonderful view but for someone who went so far as to name her daughter quot Kathryn quot after the spirited character O Hara plays I am thoroughly disgusted This change should be noted in the description for those of us who care about quality ,,
32,0.0,Mia Thermopolis Anne Hathaway is a normal 15 year old whose one goal in life is to be invisible and maybe catch a kiss from Josh Bryant Erik Von Detton the most popular boy in school She lives with her mother Helen Caroline Goodall and cat Fat Louie in a refubrished firehouse in San Francisco while going to Grove High School Mia doesn t really think her life will ever change until her grandmother Julie Andrews comes to town and tells her she is actually a princess Even though she doesn t like it at first Mia accepts the changes in her life Mia is forced to take princess lessons with the promise of that she can back out of the deal at any time She also befriends her head of security Joe Hector Elizondo who also wants to get romatically involved with Mia s grandmother After a makeover Mia tries her best to fit in more with the in crowd especially the most popular girl in school stuck up cheerleader Lana Thomas Mandy Moore Of course that doesn t sit well with her grandmother Mia s best pal Lily Heather Matarazzo or Lily s twin brother Michael Robert Schwartzman who has a crush on Mia Now Mia must learn to find out who she really is and be herself All that and see if she is ready to be a princess br br Great movie I recommened this movie to all ,,
33,0.0,I really like this film and would try watching more movies if I thought they d be as good as this one I have watched this at least three times and enjoyed it every time I think it is the characters perhaps the actors that I fiud so enjoyable The film isn t terribly frightening but who needs that This is a ghost movie in the old style much like the Sixth Sense or The Others Probably the reason it gets mixed reviews is that people who expect a military action thriller are dissappointed with a ghost story and people who want a pure ghost story are dissappointed with the military action I found the combination much to my liking ,,
34,0.0,This is from legendary and thankfully very prolific Japanese born film maker Takashi Miike and was part of his Triad trilogy which also included Shinjuku Triad Society and Ley Lines This one tells the story of a down at heels Yakuza who has found himself stranded in Taiwan having been abandoned by his Big Brother and hence is now persona non grata back at home Yuuji Sho Ikawa Gozy and Dead or Alive lives in a shanty hovel and has to make ends meet by doing bargain hit man jobs for a local Triad crime boss Mr Kes who is about as likable as a dose of the clap He is also being continually promised that he will get a forged passport so he can get out of the hole he has found himself in but this is used as a carrot to keep him working br br Then a woman turns up and dumps a mute boy on his door step saying that this is your father she has puit up with him long enough and now the father can deal with it Yuuji in unmoved and unconcerned as he can not even remember the woman s name As he has another job to do the kid starts to tag along As Yuuji has a fear of doing jobs in the rain he ends up waiting out the storm in a brothel where he makes a connection with one of the pros His next job then presents him with an opportunity to change everything br br This is one of the more paced of Miike s films it does have some gangster violence but instead dwells much more on the inter play between the main three characters and the almost familial bond that is allowed to burgeon It has a poetic quality that is set against a plot so bleak that it is almost Dickensian the boy is particularly good at carrying out a role with absolutely no dialogue yet you get to understand him perfectly The constant rain is used as a metaphor for the crappiness of their existence and the longing for some sun much like living in England at the moment br br This is a thoughtful well directed and shot film that really demonstrates the breadth and diversity of Miike Ichi The Killer this most certainly is not I found it totally engrossing and am slowly working my way through his back catalogue In Japanese and Mandarin this is for fans of Asian cinema who like their flms a little bit more subtle and ones that do not pull their punches but still has a few ,,
35,0.0,Every professional review said this movie was a disappointment Just goes to show you that professional reviews aren t always right p This movie was funny well acted and well timed Many good lines the addition of Cathy Moriarty Gentile I know the Gentiles to the cast made the movie better and she and DiNrio interact great p The return of Vitti to the street and the inclusion of his crew in a Mafia TV show are very funny The Chinese restaurant scene was great but from the outtakes at the end would have been even better if some of the cut scenes were included p The ending is a little abrupt It would have cost the movie 1 2 a star but the quality of the action and the actors keep it going p A toss up ,,
36,0.0,Tarantino was right on with his recommendation What an original not your run of the mill rip off slasher flick This is a hidden treasure dont get me wrong B Movie at best but the concept the story has major potential It could be so much more than it is with a bigger budget and a mastermind at the helm Good stuff worth the watch imagine the possibilities ,,
37,0.0,With great performances by Charles Boyer Oscar Winner Ingrid Bergman and Joseph Cotten Gaslight is one of the best thrillers of the 40 s and indeed of all time It proves to us that there is more than meets the eye when it comes to people but also to any other situation It also asks us if we know the ones we trust Some plot spoilers p The story is of a married couple Paula Bergman and Gregory Anton Boyer Paula s aunt a famous performer named Alice Alquiest was murdered ten years before in her house while Paula was there Now her and Gregory have come to live in that same house in Thornton square Whenever Gregory goes to work on evenings Paula begins to hear sound up in the attic and the gas always goes down Though he does some suspicious acts she doesn t suspect that Gregory is obsessed with locating her aunt s jewels But Gregory convinces Paula that she is ill and devises a plan to systematically drive her mad Only when a Scotland Yard Inspector Cotten reopens the Alquiest case does the truth unravel But will Paula still keep her sanity p In addition to the three leads there is also supporting work from Dame May Whitty Barbara Everest and Angela Lansbury in her screen debut The cinematography is also very well done and allows us to venture into Paula s isolation and heightens the mood and suspense The art direction also won an Oscar and Boyer was nominated for his despicable character Boyer never strikes Bergman throughout the whole movie yet is able to dominate her by using strong forceful words p Multiple viewings don t cause the movie to age Rather they strengthen it Do yourself a favor and rent this tonight ,,
38,1.0,The movie was sort of interesting with a lot of little plot twists until it was about three quartes through Then it got really stupid contrived and of course politically correct Jodie Foster does a number of really stupid and non realistic things like not telling the police there s a problem Afterall the thugs holding her daughter can t hear what she s saying And then not taking the damn gun herself and shooting Finally if I see one more quot dead man rising back to life quot in any movie I think I will throw up Raoul who already has a bashed arm and is bleeding quite badly is smashed over the head with a sledge hammer That would be enough to do any mortal in But no he pops up back to life full of vim and vigor well I wish they might have put a realistic ending on it ,,
39,0.0,I love this film It took me a while to get into because of all the 1950s opera singing but the acting and cast are great I love Dorothy Dandridge who was beautiful both inside and out Anyone interested in Dorothy Dandridge during her finest hour should pick up this film ,,
40,0.0,The Bottom Line br br A weighty somewhat self important adaptation of an acclaimed novel The English Patient along with other movies that fit that description like Sophie s Choice and Cold Mountain was pure Oscar bait but it s also a suitably epic romance that will no doubt appeal to those who like this sort of thing ,,
41,0.0,An earnest story of a Scotch amateur speed cyclist Graeme Obree portrayed by Johnny Miller A familiar tale of hard fought triump harsh mentor unimpressed officials and Obree s overcoming depression demon Terrific film that will keep your spirits soaring With an ensemble of fine supporting cast Keep watch Brian Cox stealing the film Cinematography is stunning and compelling ,,
